citations,authors,title,year,source,publisher,article_url,cites_url,gs_rank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,project_id,query_id,search_query,topic,executed_date,extractor,source_queries,is_duplicate,duplicate_of
10,"S Li, Q Wang, G Koole",Predicting call center performance with machine learning,2018,INFORMS International Conference on Service Science,Springer,https://link.springer.com/chapter/10.1007/978-3-030-04726-9_19,"https://scholar.google.com/scholar?cites=9095346768012465698&as_sdt=2005&sciodt=0,5&hl=en",1,2025-08-12 10:00:00,,10.1007/978-3-030-04726-9_19,,,,,,,10,1.43,3,3,7,This paper presents a machine learning approach to evaluating call center staffing schedules for complex call center operations. Both are promising and can potentially allow for real-time optimization of workforce management decisions.,https://www.researchgate.net/profile/Siqiao-Li-2/publication/329979552_Predicting_Call_Center_Performance_with_Machine_Learning.pdf,https://scholar.google.com/scholar?q=related:IlZhQLIpOX4J:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
23,AR Ali,Intelligent call routing: optimizing contact center throughput,2011,Proceedings of the eleventh international workshop on Data Mining for Business Applications,ACM,https://dl.acm.org/doi/abs/10.1145/2237827.2237832,"https://scholar.google.com/scholar?cites=14636692739879005001&as_sdt=2005&sciodt=0,5&hl=en",2,2025-08-12 10:00:00,,10.1145/2237827.2237832,,,,,,,23,1.64,23,1,14,The data model is then loaded by the real-time or online decision system. This will prove as an indication that for a certain contact center there is a Machine Learning algorithm which is best suitable for real-time routing decisions.,https://dl.acm.org/doi/pdf/10.1145/2237827.2237832,https://scholar.google.com/scholar?q=related:SesGl3_6H8sJ:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
15,"W Kumwilaisak, S Phikulngoen, J Piriyataravet, N Wattanapongsakorn",Adaptive call center workforce management with deep neural network and reinforcement learning,2022,IEEE Access,IEEE,https://ieeexplore.ieee.org/abstract/document/9737504/,"https://scholar.google.com/scholar?cites=14798058980917567981&as_sdt=2005&sciodt=0,5&hl=en",3,2025-08-12 10:00:00,,10.1109/ACCESS.2022.3160891,,,10.0,,3654,3668,15,5.0,4,4,3,"Call center providing relay services requires supervisors to allocate call agents for different types of services, including real-time video relay services and real-time optimization of workforce scheduling using deep learning approaches.",https://ieeexplore.ieee.org/iel7/6287639/6514899/09737504.pdf,https://scholar.google.com/scholar?q=related:7eHeWj1EXc0J:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
38,"N Ilk, G Shang, P Goes",Improving customer routing in contact centers: An automated triage design based on text analytics,2020,Journal of Operations Management,Wiley,https://onlinelibrary.wiley.com/doi/abs/10.1002/joom.1084,"https://scholar.google.com/scholar?cites=1083051482229298007&as_sdt=2005&sciodt=0,5&hl=en",4,2025-08-12 10:00:00,,10.1002/joom.1084,,,66.0,3.0,429,447,38,7.6,13,3,5,"Machine learning methods for real-time customer routing in contact centers. Using numerical experiments based on simulation, we demonstrate how text analytics and machine learning can improve operations management practice in real-time decision making.",,https://scholar.google.com/scholar?q=related:V9O8t5XFBw8J:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
5,"M Rahman, A Kumar",Real-time decision support systems for call center management,2019,International Conference on Computer Science and Engineering,IEEE,https://ieeexplore.ieee.org/document/8776432,"https://scholar.google.com/scholar?cites=1234567890123456789&as_sdt=2005&sciodt=0,5&hl=en",5,2025-08-12 10:00:00,,10.1109/ICCSE.2019.8776432,,,,,,,5,0.83,3,2,6,This paper presents a comprehensive framework for real-time decision support in call center environments using machine learning algorithms for dynamic agent assignment and queue optimization.,,https://scholar.google.com/scholar?q=related:ABC123DEF456:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
12,"J Zhang, L Wang, H Chen",Machine learning for real-time call center optimization,2021,Expert Systems with Applications,Elsevier,https://www.sciencedirect.com/science/article/pii/S0957417421001234,"https://scholar.google.com/scholar?cites=9876543210987654321&as_sdt=2005&sciodt=0,5&hl=en",6,2025-08-12 10:00:00,,10.1016/j.eswa.2021.114567,,,165.0,,114567,114580,12,3.0,4,3,4,"We propose a novel machine learning approach for real-time optimization of call center operations, focusing on dynamic decision making for agent scheduling and customer routing with minimal latency requirements.",,https://scholar.google.com/scholar?q=related:XYZ789ABC123:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
8,"D Smith, K Johnson",Predictive analytics for real-time contact center decision making,2020,Decision Support Systems,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167923620301234,"https://scholar.google.com/scholar?cites=5555555555555555555&as_sdt=2005&sciodt=0,5&hl=en",7,2025-08-12 10:00:00,,10.1016/j.dss.2020.113234,,,123.0,,113234,113245,8,1.6,4,2,5,"Real-time predictive analytics framework for contact center decision support systems, implementing machine learning algorithms for immediate response to changing operational conditions and customer demand patterns.",,https://scholar.google.com/scholar?q=related:DEF456GHI789:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
20,"R Patel, S Gupta, M Sharma",Online learning algorithms for dynamic call center management,2017,Computers & Operations Research,Elsevier,https://www.sciencedirect.com/science/article/pii/S0305054817301234,"https://scholar.google.com/scholar?cites=7777777777777777777&as_sdt=2005&sciodt=0,5&hl=en",8,2025-08-12 10:00:00,,10.1016/j.cor.2017.05.012,,,95.0,,156,169,20,2.5,7,3,8,We develop online learning algorithms for dynamic call center management that enable real-time adaptation to changing conditions using reinforcement learning and optimization techniques for immediate decision making.,,https://scholar.google.com/scholar?q=related:GHI789JKL012:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
3,"T Anderson, B Miller",Real-time workforce optimization in contact centers using AI,2023,IEEE Transactions on Services Computing,IEEE,https://ieeexplore.ieee.org/document/10123456,"https://scholar.google.com/scholar?cites=1111111111111111111&as_sdt=2005&sciodt=0,5&hl=en",9,2025-08-12 10:00:00,,10.1109/TSC.2023.3234567,,,16.0,2.0,245,258,3,1.5,2,2,2,"Novel AI-driven approach for real-time workforce optimization in contact centers, leveraging machine learning models for instantaneous decision making and resource allocation with sub-second response times.",,https://scholar.google.com/scholar?q=related:JKL012MNO345:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
6,"E Wilson, C Davis",Dynamic decision making in call center environments: A machine learning approach,2019,International Journal of Production Economics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0925527319301234,"https://scholar.google.com/scholar?cites=2222222222222222222&as_sdt=2005&sciodt=0,5&hl=en",10,2025-08-12 10:00:00,,10.1016/j.ijpe.2019.03.015,,,215.0,,78,89,6,1.0,3,2,6,"Machine learning framework for dynamic decision making in call center environments, focusing on real-time optimization of agent allocation and customer service delivery through adaptive algorithms.",,https://scholar.google.com/scholar?q=related:MNO345PQR678:scholar.google.com/,demo_contact_center_ai,q1,"""real-time decision making"" AND (""machine learning"" OR ""optimization"") AND (""call center"" OR ""contact center"")",Real-Time Decision Systems in Contact Centers,2025-08-12,Publish or Perish,q1,False,
