Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"AA Rezaee, M Akbari","A multi-channel queue model to optimize service level and staff availability in bank industry",2025,"RAIRO-Operations Research","rairo-ro.org","https://www.rairo-ro.org/articles/ro/abs/2025/01/ro230848/ro230848.html","",3,"2025-08-01 17:42:41","","","","",,,,,0,0.00,0,2,1,"… satisfaction and fairness The model … optimization aims to achieve the shortest customer waiting queue with the fewest employees. This study considers an M/M/C bank queue system, …","https://www.rairo-ro.org/articles/ro/pdf/2025/01/ro230848.pdf","https://scholar.google.com/scholar?q=related:5NYLmY8pNo0J:scholar.google.com/&scioq=%22call+center%22%7C%22queue+system%22+%22fairness%22%7C%22wait+time+prioritization%22%7C%22aging+policy%22+%22optimization%22&hl=en&as_sdt=0,5"
0,"MA Arekamari","A multi-channel queue model to optimize service level and staff availability in bank industry",,"papers.ssrn.com","","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4769463","",8,"2025-08-01 17:42:41","","","","",,,,,0,0.00,0,1,,"… bank queue system and optimized the staffing level using the presented optimization model. … maximizing employee satisfaction and maximizing fairness between employees. The results …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4769463","https://scholar.google.com/scholar?q=related:G_nXOiyRN5oJ:scholar.google.com/&scioq=%22call+center%22%7C%22queue+system%22+%22fairness%22%7C%22wait+time+prioritization%22%7C%22aging+policy%22+%22optimization%22&hl=en&as_sdt=0,5"
0,"E Ukoh, H Igoru, L Ok","A Queue Fairness Mo System:(A Case Study",2021,"","academia.edu","https://www.academia.edu/download/111374268/ijtsrd47770.pdf","",10,"2025-08-01 17:42:41","PDF","","","",,,,,0,0.00,0,3,4,"… process and exponentially distributed queue system. Summarily, … fairness aspect, which is highly important to customers has always been sacrificed on the altar of resource optimization …","https://www.academia.edu/download/111374268/ijtsrd47770.pdf","https://scholar.google.com/scholar?q=related:41VeP2bY1uMJ:scholar.google.com/&scioq=%22call+center%22%7C%22queue+system%22+%22fairness%22%7C%22wait+time+prioritization%22%7C%22aging+policy%22+%22optimization%22&hl=en&as_sdt=0,5"
0,"E Ukoh, H Igoru, L Okafor","A Queue Fairness Model System:(A Case Study",2021,"","researchgate.net","https://www.researchgate.net/profile/Israel-Udoh/publication/356127926_A_Queue_Fairness_Model_of_Automated_Teller_Machine_ATM_System_A_Case_Study_of_Some_Financial_Institutions_in_Kaduna_Nigeria/links/618cb6213068c54fa5cd9276/A-Queue-Fairness-Model-of-Automated-Teller-Machine-ATM-System-A-Case-Study-of-Some-Financial-Institutions-in-Kaduna-Nigeria.pdf","",19,"2025-08-01 17:42:41","PDF","","","",,,,,0,0.00,0,3,4,"… process and exponentially distributed queue system. Summarily, … fairness aspect, which is highly important to customers has always been sacrificed on the altar of resource optimization …","https://www.researchgate.net/profile/Israel-Udoh/publication/356127926_A_Queue_Fairness_Model_of_Automated_Teller_Machine_ATM_System_A_Case_Study_of_Some_Financial_Institutions_in_Kaduna_Nigeria/links/618cb6213068c54fa5cd9276/A-Queue-Fairness-Model-of-Automated-Teller-Machine-ATM-System-A-Case-Study-of-Some-Financial-Institutions-in-Kaduna-Nigeria.pdf","https://scholar.google.com/scholar?q=related:uS-OFL3SV30J:scholar.google.com/&scioq=%22call+center%22%7C%22queue+system%22+%22fairness%22%7C%22wait+time+prioritization%22%7C%22aging+policy%22+%22optimization%22&hl=en&as_sdt=0,5"
11,"T Niu, B Lei, L Guo, S Fang, Q Li, B Gao, L Yang, K Gao","A review of optimization studies for system appointment scheduling",2023,"Axioms","mdpi.com","https://www.mdpi.com/2075-1680/13/1/16","https://scholar.google.com/scholar?cites=14049115304521232509&as_sdt=2005&sciodt=0,5&hl=en",16,"2025-08-01 17:42:41","HTML","","","",,,,,11,5.50,1,8,2,"… Subsequently, we summarize the system reliability optimization … (1) optimization methods in ASs predominantly involve the application of genetic algorithms and simulation optimization …","https://www.mdpi.com/2075-1680/13/1/16","https://scholar.google.com/scholar?q=related:ffB9Hu97-MIJ:scholar.google.com/&scioq=%22call+center%22%7C%22queue+system%22+%22fairness%22%7C%22wait+time+prioritization%22%7C%22aging+policy%22+%22optimization%22&hl=en&as_sdt=0,5"
10,"TB Nielsen","Call center capacity planning",2010,"","orbit.dtu.dk","https://orbit.dtu.dk/en/publications/call-center-capacity-planning","https://scholar.google.com/scholar?cites=15233403548374726294&as_sdt=2005&sciodt=0,5&hl=en",18,"2025-08-01 17:42:41","","","","",,,,,10,0.67,10,1,15,"… In the last paper Optimization of overflow policies in call centers, overflows between agent … Within each of the queues, the norm is to answer calls according to FCFS for fairness, even …","https://orbit.dtu.dk/files/5004575/phd223_tbn.pdf","https://scholar.google.com/scholar?q=related:lvYMNdHrZ9MJ:scholar.google.com/&scioq=%22call+center%22%7C%22queue+system%22+%22fairness%22%7C%22wait+time+prioritization%22%7C%22aging+policy%22+%22optimization%22&hl=en&as_sdt=0,5"
0,"WK Pugh","Call center experience optimization: A case for a virtual predictive queue",2017,"","search.proquest.com","https://search.proquest.com/openview/a4ce5d4987f4f680ec416ec6463e1a05/1?pq-origsite=gscholar&cbl=18750","",1,"2025-08-01 17:42:41","BOOK","","","",,,,,0,0.00,0,1,8,"… To impart a level of fairness to all customers, the typical policy for servicing customers waiting in the queue is first-come, first-served (FCFS) and call center infrastructure follows this …","https://athenaeum.uiw.edu/cgi/viewcontent.cgi?article=1300&context=uiw_etds","https://scholar.google.com/scholar?q=related:j2EIRKl36zQJ:scholar.google.com/&scioq=%22call+center%22%7C%22queue+system%22+%22fairness%22%7C%22wait+time+prioritization%22%7C%22aging+policy%22+%22optimization%22&hl=en&as_sdt=0,5"
144,"G Koole","Call center optimization",2013,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=G30WBAAAQBAJ&oi=fnd&pg=PR1&dq=%22call+center%22%7C%22queue+system%22+%22fairness%22%7C%22wait+time+prioritization%22%7C%22aging+policy%22+%22optimization%22&ots=46Df7QBpwq&sig=Id-2E9jA9Se_tNtrfSgabx58bAo","https://scholar.google.com/scholar?cites=9028957444258872261&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-08-01 17:42:41","BOOK","","","",,,,,144,12.00,144,1,12,"… and optimization of call centers. It … call center performance in a systematic way. Keywords are data collection, scenario analysis, and simulation. This book is a bridge between call center …","","https://scholar.google.com/scholar?q=related:xTsrRfVMTX0J:scholar.google.com/&scioq=%22call+center%22%7C%22queue+system%22+%22fairness%22%7C%22wait+time+prioritization%22%7C%22aging+policy%22+%22optimization%22&hl=en&as_sdt=0,5"
1,"W Chan, GM Koole, P L'Écuyer","Call Center Routing Policy Using Call Waiting and Agent Idle Times",2011,"","math.vu.nl","https://www.math.vu.nl/~koole/publications/2011report3/art.pdf","https://scholar.google.com/scholar?cites=2738820182019725140&as_sdt=2005&sciodt=0,5&hl=en",12,"2025-08-01 17:42:41","BOOK","","","",,,,,1,0.07,0,3,14,"… levels, the abandonment ratios, and the fairness of occupancy across agent groups. We … of a multi-skill call center. In this paper, we study routing policies and their optimization for fixed …","https://www.math.vu.nl/~koole/publications/2011report3/art.pdf","https://scholar.google.com/scholar?q=related:VNf01HE-AiYJ:scholar.google.com/&scioq=%22call+center%22%7C%22queue+system%22+%22fairness%22%7C%22wait+time+prioritization%22%7C%22aging+policy%22+%22optimization%22&hl=en&as_sdt=0,5"
1,"W Wu, R Sharma, S Bansal","Case article—Three mountain communications: Fairness considerations for workplace task allocation",2025,"INFORMS Transactions on …","pubsonline.informs.org","https://pubsonline.informs.org/doi/abs/10.1287/ited.2023.0044ca","https://scholar.google.com/scholar?cites=16356969957015041979&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-08-01 17:42:41","","10.1287/ited.2023.0044ca","","",,,,,1,1.00,0,3,1,"… : incorporating fairness considerations in managerial decision making and introducing task allocation using an optimization model. The case focuses on a call center that faces the issue …","https://pubsonline.informs.org/doi/pdf/10.1287/ited.2023.0044ca","https://scholar.google.com/scholar?q=related:uzeeUYOh_-IJ:scholar.google.com/&scioq=%22call+center%22%7C%22queue+system%22+%22fairness%22%7C%22wait+time+prioritization%22%7C%22aging+policy%22+%22optimization%22&hl=en&as_sdt=0,5"
