Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"SK Ganesan","INTEGRATING RESPONSIBLE AI IN ABUSE HELPLINE CONTACT CENTERS: A FRAMEWORK FOR ETHICAL IMPLEMENTATION AND HUMAN-CENTERED …",2024,"Technology (IJRCAIT)","academia.edu","https://www.academia.edu/download/119514347/IJRCAIT_07_02_080.pdf","",1,"2025-08-09 17:17:18","PDF","","","",,,,,0,0.00,0,1,1,"… Artificial Intelligence (AI) technologies in abuse helpline contact centers, presenting a comprehensive framework for ethical … The article identifies critical considerations in AI deployment, …","https://www.academia.edu/download/119514347/IJRCAIT_07_02_080.pdf","https://scholar.google.com/scholar?q=related:eJ6FLZ-l098J:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22artificial+intelligence%22%7Cai+%22ai+act%22%7Cregulation%7Ccompliance%7Cethics%7Cgdpr%7Ctransparency%7Cexplainability%7C%22risk+management%22&hl=en&as_sdt=0,5"
11,"V Doellgast, S O'Bradey, J Kim","AI in contact centers",2023,"USA: Cornell University …","ecommons.cornell.edu","https://ecommons.cornell.edu/bitstreams/a0ac9f50-5a22-4b3d-a9d9-2cc06824e31d/download","https://scholar.google.com/scholar?cites=10957335557776739423&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-08-09 17:17:18","PDF","","","",,,,,11,5.50,4,3,2,"… In the next section, we summarize our survey findings on the impact of AI on contact center … in their workplace – with the exception of ‘ethical standards’. We also see some variation by …","https://ecommons.cornell.edu/bitstreams/a0ac9f50-5a22-4b3d-a9d9-2cc06824e31d/download","https://scholar.google.com/scholar?q=related:XwwKpqJGEJgJ:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22artificial+intelligence%22%7Cai+%22ai+act%22%7Cregulation%7Ccompliance%7Cethics%7Cgdpr%7Ctransparency%7Cexplainability%7C%22risk+management%22&hl=en&as_sdt=0,5"
0,"SK Gudipati","Transforming the Working Style of Call Center Agents Through Generative AI.",2025,"… Journal of Advanced Computer Science & …","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=2158107X&AN=186513887&h=EpSymtv%2FFkv7pM9fW0FMlh54Lj%2BIZu25RbiBEfwx0QFBn%2BAjFQgDD7u74U1zN9XxC7IyMgw6zXhEq9%2BfYZDXKg%3D%3D&crl=c","",3,"2025-08-09 17:17:18","","","","",,,,,0,0.00,0,1,1,"… AI on ethical considerations such as data privacy, algorithmic bias, explainability, and compliance with industry regulations… The related work in the domain of AI-driven customer service …","","https://scholar.google.com/scholar?q=related:9wzPCGdsjLkJ:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22artificial+intelligence%22%7Cai+%22ai+act%22%7Cregulation%7Ccompliance%7Cethics%7Cgdpr%7Ctransparency%7Cexplainability%7C%22risk+management%22&hl=en&as_sdt=0,5"
66,"T Albrecht, TM Rausch, ND Derra","Call me maybe: Methods and practical implementation of artificial intelligence in call center arrivals' forecasting",2021,"Journal of Business Research","Elsevier","https://www.sciencedirect.com/science/article/pii/S0148296320306160","https://scholar.google.com/scholar?cites=16508157627147522999&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-08-09 17:17:18","","","","",,,,,66,16.50,22,3,4,"… call center management, there is a substantial gap between the potential and actual use of AI… This study investigates the capabilities of ML models for intra-daily call center arrivals’ …","","https://scholar.google.com/scholar?q=related:t5NI3uXBGOUJ:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22artificial+intelligence%22%7Cai+%22ai+act%22%7Cregulation%7Ccompliance%7Cethics%7Cgdpr%7Ctransparency%7Cexplainability%7C%22risk+management%22&hl=en&as_sdt=0,5"
0,"SH Thorat","Agentic AI for Customer Service and Contact Center Solutions",2025,"Journal of Computer Science and Technology …","al-kindipublishers.org","https://al-kindipublishers.org/index.php/jcsts/article/view/10548","",5,"2025-08-09 17:17:18","","","","",,,,,0,0.00,0,1,1,"… Safety and ethics considerations remain underexplored within the current literature, particularly … The intersection of autonomous agent behavior and regulatory compliance requirements …","https://al-kindipublishers.org/index.php/jcsts/article/download/10548/9280","https://scholar.google.com/scholar?q=related:yKOF2DgSee4J:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22artificial+intelligence%22%7Cai+%22ai+act%22%7Cregulation%7Ccompliance%7Cethics%7Cgdpr%7Ctransparency%7Cexplainability%7C%22risk+management%22&hl=en&as_sdt=0,5"
0,"MK Vunnava","The AI-powered automation in contact centers: Enhancing self-service and agent support",2025,"World Journal of Advanced …","eprint.scholarsrepository.com","https://eprint.scholarsrepository.com/id/eprint/3761/","",6,"2025-08-09 17:17:18","","","","",,,,,0,0.00,0,1,1,"… impact of AI-powered automation on contact center operations, … bias presents significant ethical challenges in contact center AI, … the establishment of AI ethics committees with diverse …","https://eprint.scholarsrepository.com/id/eprint/3761/1/WJAETS-2025-0632.pdf","https://scholar.google.com/scholar?q=related:Bng1ZUre4vgJ:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22artificial+intelligence%22%7Cai+%22ai+act%22%7Cregulation%7Ccompliance%7Cethics%7Cgdpr%7Ctransparency%7Cexplainability%7C%22risk+management%22&hl=en&as_sdt=0,5"
2,"…, WO Owobu, JP Onoja, AI Daraojimba…","A privacy-preserving AI model for autonomous detection and masking of sensitive user data in contact center analytics",2025,"World Scientific …","worldscientificnews.com","https://worldscientificnews.com/wp-content/uploads/2025/05/WSN-203-2025-154-193.pdf","https://scholar.google.com/scholar?cites=12598766910520789176&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-08-09 17:17:18","PDF","","","",,,,,2,2.00,0,5,1,"… Furthermore, the model adheres to key privacy standards, including GDPR and CCPA, ensuring ethical and lawful data handling. This research addresses a critical need in the …","https://worldscientificnews.com/wp-content/uploads/2025/05/WSN-203-2025-154-193.pdf","https://scholar.google.com/scholar?q=related:uIiJBcHP164J:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22artificial+intelligence%22%7Cai+%22ai+act%22%7Cregulation%7Ccompliance%7Cethics%7Cgdpr%7Ctransparency%7Cexplainability%7C%22risk+management%22&hl=en&as_sdt=0,5"
0,"GA Best","42 Rules for Using AI in Your Contact Center (Book Excerpt)",,"happyabout.com","","https://www.happyabout.com/bookinfo/42-Rules-For-Using-AI-in-Contact-Centers-BookExcerpt-19Sep23.pdf","",8,"2025-08-09 17:17:18","PDF","","","",,,,,0,0.00,0,1,,"… we should all be having regarding the value-add proposition of AI in the Contact Center. … Integrating AI with a strong focus on ethical practices can shape how your contact center …","https://www.happyabout.com/bookinfo/42-Rules-For-Using-AI-in-Contact-Centers-BookExcerpt-19Sep23.pdf","https://scholar.google.com/scholar?q=related:H_jG9e6k9esJ:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22artificial+intelligence%22%7Cai+%22ai+act%22%7Cregulation%7Ccompliance%7Cethics%7Cgdpr%7Ctransparency%7Cexplainability%7C%22risk+management%22&hl=en&as_sdt=0,5"
6,"W Christl","Surveillance and algorithmic control in the call centre",2023,"A case study on contact and service center software …","crackedlabs.org","https://crackedlabs.org/dl/CrackedLabs_Christl_CallCenter.pdf","https://scholar.google.com/scholar?cites=8439889375555950283&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-08-09 17:17:18","PDF","","","",,,,,6,3.00,6,1,2,"… satisfaction and compliance. Today’s … as artificial intelligence, to decide which agent will likely handle a given interaction in the most efficient way. For this purpose, the contact center …","https://crackedlabs.org/dl/CrackedLabs_Christl_CallCenter.pdf","https://scholar.google.com/scholar?q=related:yxabrauCIHUJ:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22artificial+intelligence%22%7Cai+%22ai+act%22%7Cregulation%7Ccompliance%7Cethics%7Cgdpr%7Ctransparency%7Cexplainability%7C%22risk+management%22&hl=en&as_sdt=0,5"
1,"V Holubiev, B Pushkar, A Shevchuk…","Revolutionizing Contact Center Knowledge Management: the Game-Changing Role of AI Large Language Models and Autonomous Agents in Text Organization and …",2024,"2024 14th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10712506/","https://scholar.google.com/scholar?cites=15985467503176922848&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-08-09 17:17:18","","","","",,,,,1,1.00,0,4,1,"… AI technologies, and the investigation of potential ethical and security concerns related to the use of autonomous agents. By pushing the boundaries of what is possible with LLMs and …","","https://scholar.google.com/scholar?q=related:4DZp3__J190J:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22artificial+intelligence%22%7Cai+%22ai+act%22%7Cregulation%7Ccompliance%7Cethics%7Cgdpr%7Ctransparency%7Cexplainability%7C%22risk+management%22&hl=en&as_sdt=0,5"
23,"LH Kahn, O Savas, A Morrison…","Modelling hybrid human-artificial intelligence cooperation: a call center customer service case study",2020,"… Conference on Big …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9377747/","https://scholar.google.com/scholar?cites=3537610752104153496&as_sdt=2005&sciodt=0,5&hl=en",11,"2025-08-09 17:17:18","","","","",,,,,23,4.60,6,4,5,"… For a given situation and a team of humans and AI systems, we are interested in testing variations on human-AI cooperation outcomes. We examine a call center use case to determine …","https://www.researchgate.net/profile/Laura-Kahn-9/publication/350207956_Modelling_Hybrid_Human-Artificial_Intelligence_Cooperation_A_Call_Center_Customer_Service_Case_Study/links/615c789ac04f5909fd8561e9/Modelling-Hybrid-Human-Artificial-Intelligence-Cooperation-A-Call-Center-Customer-Service-Case-Study.pdf","https://scholar.google.com/scholar?q=related:mEHFaDweGDEJ:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22artificial+intelligence%22%7Cai+%22ai+act%22%7Cregulation%7Ccompliance%7Cethics%7Cgdpr%7Ctransparency%7Cexplainability%7C%22risk+management%22&hl=en&as_sdt=0,5"
0,"SV Arcot","Contact Centers",2025,"Mathematics and Computer Science: Research …","researchgate.net","https://www.researchgate.net/profile/Rajarathinam-Arunachalam-3/publication/389548978_Mathematics_and_Computer_Science_Research_Updates_Vol_3_-_ebook/links/67c720f4645ef274a49ab287/Mathematics-and-Computer-Science-Research-Updates-Vol-3-ebook.pdf#page=172","",12,"2025-08-09 17:17:18","PDF","","","",,,,,0,0.00,0,1,1,"… compliance will be crucial for the continued evolution of contact center technologies. … Emerging CTI integration trends in contact center environments feature AI-powered automation, …","https://www.researchgate.net/profile/Rajarathinam-Arunachalam-3/publication/389548978_Mathematics_and_Computer_Science_Research_Updates_Vol_3_-_ebook/links/67c720f4645ef274a49ab287/Mathematics-and-Computer-Science-Research-Updates-Vol-3-ebook.pdf#page=172","https://scholar.google.com/scholar?q=related:ylOe-ZsiR7IJ:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22artificial+intelligence%22%7Cai+%22ai+act%22%7Cregulation%7Ccompliance%7Cethics%7Cgdpr%7Ctransparency%7Cexplainability%7C%22risk+management%22&hl=en&as_sdt=0,5"
0,"AP Sahoo","Optimizing Call Center Service Level Agreements Through Artificial Intelligence and Automation: A Comprehensive Analysis",2025,"Journal of Computer Science and Technology …","al-kindipublishers.org","https://al-kindipublishers.org/index.php/jcsts/article/view/9747","",13,"2025-08-09 17:17:18","","","","",,,,,0,0.00,0,1,1,"… of AI-powered workforce management tools enables precision scheduling and real-time adjustments that maintain SLA compliance even … for AI adoption in contemporary contact center …","https://al-kindipublishers.org/index.php/jcsts/article/download/9747/8409","https://scholar.google.com/scholar?q=related:LXaQc05dqtcJ:scholar.google.com/&scioq=%22call+center%22%7C%22contact+center%22%7C%22call+centre%22%7C%22contact+centre%22+%22artificial+intelligence%22%7Cai+%22ai+act%22%7Cregulation%7Ccompliance%7Cethics%7Cgdpr%7Ctransparency%7Cexplainability%7C%22risk+management%22&hl=en&as_sdt=0,5"
